dr7id,m,logL_FUV,logL_FUV_err,logL_22,logL_22_err,logMstar,logMstar_err
587725552811442298,3,9.49,0.1,9.25,0.06,10.48,0.1
587725552811966589,2,9.68,0.02,9.28,0.05,10.48,0.09
587725575886274642,2,9.72,0.02,9.14,0.06,10.65,0.09
587725590382903534,2,9.56,0.04,9.05,0.05,10.69,0.1
587725590919053461,3,9.34,0.03,9.32,0.05,10.42,0.08
587725774531657955,5+,9.61,0.02,9.0,0.05,10.93,0.11
587725775067414589,3,9.87,0.02,9.57,0.05,10.56,0.1
587725775602778481,2,9.53,0.05,9.09,0.07,10.76,0.09
587725775605596552,4,9.33,0.05,9.25,0.05,10.61,0.09
587725981227286680,2,8.75,0.05,9.81,0.05,10.81,0.12
587725816410079374,2,9.23,0.02,9.24,0.05,10.08,0.09
587725816410865782,2,9.4,0.15,8.99,0.08,11.02,0.08
587725816412438592,2,9.76,0.02,9.35,0.05,10.09,0.09
587725816412700763,5+,9.71,0.02,8.85,0.07,10.22,0.11
587725816942624964,2,9.76,0.02,8.81,0.05,10.12,0.11
587725816944918693,2,8.71,0.04,8.28,0.12,10.61,0.06
587725816961237192,3,9.45,0.02,8.96,0.06,10.31,0.09
587725816961368200,2,8.94,0.03,8.96,0.06,10.29,0.08
587725816964251809,5+,9.94,0.04,9.62,0.05,10.36,0.1
587725817479823505,2,9.3,0.02,8.94,0.07,10.79,0.08
587725817489129559,5+,9.38,0.06,8.35,0.07,10.13,0.1
587725817494241313,2,9.76,0.03,9.65,0.05,10.23,0.09
587725817496272952,1,9.33,0.04,10.31,0.05,10.52,0.11
587725818022658168,2,9.34,0.1,9.25,0.06,10.72,0.09
587725818023182387,3,9.56,0.02,9.02,0.07,10.5,0.09
587725818030850281,3,9.7,0.04,9.24,0.05,10.5,0.09
587725818031112323,3,9.59,0.02,9.08,0.06,10.12,0.09
587725818552713323,4,9.55,0.02,8.98,0.06,11.25,0.06
587725818557825112,3,9.51,0.07,9.0,0.05,10.65,0.1
587725818567917683,2,9.64,0.06,9.18,0.06,11.33,0.07
587725818568048689,2,9.24,0.08,9.82,0.05,11.28,0.12
587725818568769539,2,9.5,0.13,8.89,0.06,11.02,0.09
587725818572832893,3,9.44,0.02,8.5,0.08,10.1,0.11
587725818574012541,2,9.38,0.02,9.15,0.05,10.24,0.09
587742891046404352,2,9.24,0.13,8.96,0.07,10.02,0.1
587725819090108533,2,9.51,0.02,8.75,0.06,10.11,0.12
587725819090698299,2,9.28,0.05,8.98,0.05,10.85,0.07
587729409688993855,2,9.12,0.02,8.83,0.06,10.29,0.08
587725993037267243,5+,9.28,0.02,8.72,0.06,10.23,0.09
587725993037922592,2,9.18,0.02,8.71,0.06,10.06,0.08
587725993572892891,3,9.15,0.02,9.02,0.05,10.06,0.09
587725993573482673,3,9.83,0.02,9.08,0.06,10.39,0.1
587725993576300903,5+,9.43,0.02,8.78,0.07,10.72,0.09
587725994113958142,2,9.27,0.02,8.65,0.08,10.26,0.11
587725994648338818,2,9.54,0.02,9.2,0.06,10.26,0.1
587726014002430118,2,9.64,0.04,8.73,0.08,10.1,0.11
587726014011015243,5+,9.68,0.02,8.98,0.06,10.29,0.09
587726014011736208,1,9.28,0.02,8.77,0.06,10.4,0.11
587726014542381068,2,9.75,0.04,9.15,0.05,10.18,0.09
587726014543233105,2,9.25,0.16,8.97,0.05,11.12,0.07
587726014553587781,2,9.23,0.03,8.87,0.06,10.19,0.1
587726015080628399,2,9.88,0.02,9.18,0.06,10.37,0.09
587726015088754891,5+,9.72,0.02,8.94,0.07,10.48,0.12
587726015627002114,2,8.73,0.04,9.52,0.05,10.64,0.09
587726015629230410,2,9.36,0.12,9.1,0.07,10.5,0.09
587726015629754823,3,9.74,0.07,9.38,0.06,10.66,0.09
587726016145653902,2,9.77,0.02,9.28,0.07,10.91,0.11
587726016149192828,3,9.74,0.04,9.08,0.08,10.2,0.09
587726016153124929,2,9.5,0.02,9.52,0.04,11.03,0.11
587726016153911443,3,9.63,0.02,8.99,0.06,10.23,0.13
587726016158630092,5+,9.49,0.02,8.55,0.07,10.01,0.11
587726016161448090,1,9.62,0.02,9.2,0.05,10.22,0.09
587726016163807517,2,9.76,0.02,9.19,0.06,11.33,0.06
587726016684228815,3,9.6,0.02,9.66,0.05,10.82,0.09
587726031170371761,2,9.09,0.02,8.43,0.13,10.03,0.11
587726031174762518,5+,9.55,0.02,9.05,0.08,10.55,0.1
587726031177384050,2,8.99,0.02,8.52,0.08,10.07,0.09
587722984440659987,2,9.64,0.02,9.44,0.05,10.18,0.1
587726031701540990,5+,9.65,0.02,8.81,0.07,10.68,0.11
587726031722184751,2,9.32,0.02,8.95,0.05,10.34,0.1
587726031725920357,2,9.83,0.02,9.37,0.05,10.44,0.09
587726032238674086,2,9.8,0.02,9.4,0.05,10.39,0.1
587726032265019471,4,9.85,0.02,9.96,0.05,10.49,0.1
587726032765059337,5+,9.49,0.02,9.02,0.07,10.54,0.1
587726032776265859,1,9.44,0.02,11.21,0.04,10.64,0.18
587726032782295089,3,9.32,0.07,8.73,0.11,10.66,0.09
587726032797696221,2,9.03,0.02,8.09,0.09,10.04,0.13
587726033317658709,2,9.57,0.07,9.08,0.07,10.7,0.09
587726033318314025,3,9.85,0.02,9.99,0.05,10.65,0.08
587726033320149047,2,9.41,0.05,9.05,0.05,10.7,0.1
587726033329848505,3,9.33,0.07,8.81,0.07,10.07,0.1
587726033852760168,3,9.23,0.03,9.53,0.05,10.74,0.11
587726033855774838,2,10.04,0.02,9.74,0.05,11.15,0.1
587726033857347721,3,9.36,0.02,8.64,0.06,10.22,0.1
587726033858134081,1,9.33,0.03,8.73,0.1,10.44,0.12
587728948510654469,4,9.5,0.07,9.32,0.06,11.46,0.07
587728949584396332,3,9.35,0.02,8.49,0.1,10.71,0.09
587728949585969309,2,9.44,0.02,8.54,0.05,10.19,0.16
587726100408828152,2,9.41,0.02,9.12,0.06,10.81,0.09
587726100948713486,2,9.01,0.02,8.48,0.07,10.94,0.06
587726101492400386,2,9.48,0.02,8.71,0.07,10.15,0.11
587726101492531559,2,9.6,0.02,9.02,0.07,10.36,0.09
587726102021668984,4,9.48,0.02,8.6,0.09,11.55,0.04
587726102021734516,2,8.9,0.02,9.58,0.05,10.95,0.1
587726102021865578,4,9.55,0.02,8.59,0.06,10.09,0.08
587726102024618176,3,9.2,0.02,9.04,0.05,10.47,0.1
587726102027436237,3,9.42,0.02,8.72,0.09,10.02,0.1
587726102027501637,2,9.4,0.03,8.52,0.09,10.45,0.1
587727866183155724,5+,9.24,0.02,8.37,0.11,10.73,0.07
587727867255259514,5+,9.46,0.03,8.49,0.1,10.17,0.11
587725469052502129,5+,9.98,0.03,9.64,0.05,10.96,0.1
588007003623850091,3,9.65,0.08,9.74,0.05,10.52,0.09
587728666654277742,2,9.46,0.02,9.76,0.05,10.57,0.08
588009368012259465,3,9.94,0.04,9.69,0.05,10.54,0.09
587725468525133953,3,9.41,0.02,9.02,0.07,10.46,0.08
588009371222409417,2,9.51,0.02,9.14,0.06,10.03,0.1
588009371223326891,2,9.46,0.02,9.01,0.07,10.51,0.09
588009371759870052,3,9.53,0.02,9.02,0.05,10.09,0.09
587727942956220488,2,8.51,0.04,8.89,0.06,10.93,0.09
587727943489487008,3,9.67,0.02,9.17,0.05,10.96,0.11
587727943490928963,1,8.77,0.05,10.62,0.05,10.72,0.06
587727944030027969,3,9.29,0.02,9.2,0.06,10.51,0.08
587727944568144055,4,9.4,0.02,9.16,0.06,10.67,0.09
587728308030275662,1,9.28,0.03,8.71,0.11,10.9,0.07
588009370684752019,2,9.29,0.11,9.06,0.06,10.41,0.09
588010135729864867,2,9.03,0.19,8.7,0.09,10.15,0.1
588010135729864872,2,9.01,0.21,8.6,0.1,10.45,0.09
588010135731372145,2,9.52,0.07,9.05,0.06,10.04,0.12
588010135731372160,5+,9.67,0.06,9.42,0.06,10.99,0.09
588010135731634378,4,9.8,0.06,8.77,0.09,10.46,0.14
588010135732289650,4,9.44,0.02,8.31,0.07,10.18,0.11
588009371221295180,4,9.12,0.09,8.84,0.05,10.74,0.08
588009371221295271,3,9.24,0.09,9.06,0.06,10.49,0.1
588010136267587654,2,9.27,0.07,8.58,0.08,10.28,0.09
587727867260305533,3,9.64,0.05,9.12,0.07,10.95,0.09
587728668269215990,4,9.69,0.03,9.39,0.05,10.28,0.09
587728668805890394,3,9.85,0.04,9.58,0.05,10.67,0.09
588009367201120413,2,9.02,0.02,9.37,0.05,10.82,0.09
587728669882188072,2,9.51,0.06,9.17,0.06,10.6,0.09
587728676853842040,3,8.95,0.14,9.16,0.06,10.26,0.09
587728676855283746,2,9.53,0.06,9.92,0.05,10.78,0.09
587728677390975058,2,9.63,0.04,9.14,0.05,10.63,0.08
587728917908881514,2,9.38,0.11,8.79,0.07,10.87,0.08
587728917911765115,2,9.74,0.02,8.86,0.07,10.44,0.12
587725474419245195,3,9.94,0.02,9.46,0.05,10.07,0.1
587728678464651417,2,9.28,0.07,8.58,0.11,11.03,0.06
587728918985375773,2,9.01,0.14,8.95,0.07,11.01,0.07
587728918985375906,2,8.9,0.14,9.08,0.06,10.34,0.09
587728679003422907,5+,9.37,0.21,8.94,0.07,10.96,0.08
587728919522050172,2,9.64,0.07,9.28,0.05,10.32,0.09
587728679540293666,2,9.4,0.09,8.82,0.06,10.07,0.09
587728679540359300,5+,9.51,0.12,9.0,0.06,10.44,0.09
587726033846665306,2,9.17,0.04,8.43,0.08,10.13,0.09
587728879259287584,2,9.16,0.02,9.13,0.06,10.28,0.09
587728879262761106,3,9.56,0.02,9.43,0.06,10.72,0.09
587728879264858312,4,9.48,0.02,8.88,0.1,10.25,0.1
587728879804088328,2,9.33,0.02,8.92,0.04,10.8,0.11
587728879804153945,2,9.71,0.02,8.79,0.1,10.16,0.11
587728879806185615,4,9.23,0.07,8.94,0.06,10.89,0.07
587728880343318649,4,9.43,0.02,8.93,0.05,10.46,0.09
587728880343908449,2,9.52,0.02,8.66,0.06,10.05,0.14
587728880346202204,4,9.77,0.02,9.73,0.05,10.82,0.11
587728880878682247,5+,9.62,0.02,8.96,0.06,10.42,0.1
587728880879665234,2,9.4,0.02,9.87,0.05,10.76,0.1
587728880883007539,3,9.48,0.02,8.47,0.06,10.91,0.08
587728881414045833,2,8.22,0.08,9.84,0.05,10.54,0.1
587727944564015408,5+,9.59,0.02,9.0,0.1,10.5,0.09
587726033843978455,4,9.68,0.02,8.74,0.09,10.76,0.12
588010358000648357,2,9.28,0.02,8.99,0.08,10.48,0.09
588010358001369273,2,9.46,0.02,9.03,0.06,10.2,0.09
588010358003269780,3,9.12,0.02,8.73,0.05,10.54,0.09
588010358536667184,3,9.17,0.04,9.47,0.05,10.47,0.08
588010358536732714,5+,9.62,0.03,8.77,0.06,10.05,0.11
588010358538109080,2,9.91,0.02,9.49,0.06,10.58,0.09
588010358543351857,2,9.17,0.02,9.53,0.05,10.41,0.08
588010358545252539,2,9.84,0.02,9.73,0.05,10.55,0.09
588010359067443443,2,9.6,0.02,9.28,0.05,10.07,0.09
588010359075963108,2,9.14,0.02,8.89,0.06,10.0,0.09
588010359079501867,2,8.89,0.02,8.34,0.08,10.62,0.07
588010359081468085,3,9.55,0.02,8.97,0.07,10.57,0.12
588010359081533592,2,8.85,0.04,8.99,0.08,10.33,0.08
588010359082975373,3,9.44,0.02,8.67,0.07,10.57,0.11
588010359609163928,2,9.45,0.02,8.68,0.07,10.11,0.12
588010359615324383,4,9.16,0.02,8.6,0.09,10.17,0.1
588010360148656136,1,9.85,0.02,10.05,0.05,10.39,0.16
588010360150098126,2,9.64,0.03,8.97,0.07,10.69,0.11
587728677395759275,5+,9.53,0.07,8.94,0.08,10.1,0.12
587728905565241566,3,9.1,0.06,8.56,0.06,10.05,0.09
587728906636886170,2,8.98,0.11,9.92,0.05,10.79,0.09
587728930807480535,5+,9.6,0.02,9.27,0.06,10.39,0.09
587728931339894903,2,9.32,0.03,8.97,0.05,10.0,0.09
587728931341205718,2,9.6,0.02,9.05,0.08,10.29,0.1
587728931874406669,2,9.51,0.04,9.09,0.06,10.1,0.1
587728931877552167,2,9.52,0.02,9.54,0.05,10.27,0.09
587728931877945476,2,9.69,0.02,9.15,0.06,10.93,0.11
587728931881156626,2,9.73,0.05,9.26,0.05,10.42,0.09
587728932411080803,2,9.92,0.02,9.16,0.06,11.1,0.09
587728932419666015,2,9.37,0.03,8.99,0.06,10.3,0.09
587728668271968479,2,9.33,0.02,9.07,0.08,10.2,0.09
587728932420780129,2,9.14,0.19,8.71,0.1,10.62,0.07
587728949052833917,2,9.13,0.02,9.01,0.06,10.59,0.09
587728949587869796,5+,9.62,0.02,9.44,0.04,11.0,0.11
587729153597964367,2,9.49,0.06,8.95,0.06,10.51,0.09
587729153599275064,2,9.53,0.02,9.8,0.05,10.44,0.09
587729153599340563,2,9.27,0.02,10.11,0.05,11.03,0.09
587729153599340637,2,9.82,0.02,9.36,0.05,10.19,0.11
588007003642200171,2,9.16,0.11,9.58,0.05,10.52,0.08
587729154133983410,4,9.5,0.08,9.04,0.07,10.08,0.09
587729157897912396,5+,9.36,0.04,8.79,0.05,10.08,0.1
587729157903351980,3,9.43,0.02,9.06,0.06,10.7,0.09
587729158427967586,2,9.4,0.03,8.93,0.06,10.09,0.09
587729158431637533,5+,9.32,0.05,8.9,0.05,10.83,0.1
587729158436028561,3,9.33,0.02,8.83,0.06,10.09,0.1
587729158436552924,2,9.7,0.02,9.48,0.05,10.47,0.09
587729158438518874,3,9.52,0.02,9.15,0.05,10.71,0.08
587729158440026208,2,9.23,0.02,8.88,0.06,10.21,0.09
587729158441926673,3,9.26,0.02,8.96,0.05,10.66,0.09
587729158444875976,3,9.79,0.02,9.56,0.05,10.62,0.1
587729158448545968,3,9.83,0.02,9.46,0.05,11.01,0.1
587729159512784935,3,9.21,0.02,8.96,0.05,10.71,0.08
587729159514620166,3,9.23,0.02,8.84,0.05,10.79,0.09
587729159518224734,2,9.23,0.02,8.73,0.07,10.15,0.09
587729160049131604,2,9.24,0.02,9.81,0.05,10.62,0.09
587729160049852468,3,9.26,0.02,9.06,0.05,10.07,0.09
587729160576762077,2,9.3,0.1,8.79,0.08,10.74,0.09
587730021720457340,3,9.58,0.02,8.77,0.06,10.4,0.09
587729226610049184,2,9.46,0.08,8.97,0.06,10.3,0.1
587729227146002599,2,9.42,0.08,9.11,0.06,10.33,0.09
587729227147968631,2,9.46,0.02,8.93,0.06,10.55,0.1
587729227152162949,2,9.33,0.06,8.85,0.06,10.71,0.09
587729227152425018,5+,9.68,0.03,9.26,0.05,10.63,0.09
587729227152687115,4,9.37,0.07,8.55,0.07,10.39,0.15
587729227152883974,2,9.44,0.02,8.73,0.06,10.1,0.11
587729228219613271,2,9.33,0.06,9.06,0.06,10.39,0.08
587729228225184026,2,9.26,0.02,8.63,0.09,10.3,0.09
587729228226035827,2,9.5,0.02,9.49,0.05,10.01,0.08
587729228758450340,2,9.89,0.03,9.44,0.05,10.96,0.1
587729228762382424,2,9.19,0.02,8.28,0.11,10.38,0.12
587729228763758694,2,9.21,0.02,9.73,0.05,10.8,0.09
587725552829333612,2,9.55,0.02,9.09,0.05,10.18,0.09
587729229298335895,2,9.49,0.02,9.26,0.05,11.09,0.07
587729409688207398,2,9.33,0.06,9.61,0.05,10.26,0.08
587729409153630230,3,9.45,0.07,9.47,0.05,10.27,0.09
587729231443984541,2,9.65,0.05,9.08,0.05,10.02,0.09
587729231979872444,2,9.76,0.02,8.93,0.06,10.19,0.12
587729231980986447,3,9.76,0.02,9.9,0.05,10.45,0.09
587729231982428267,2,9.54,0.02,9.29,0.05,10.87,0.09
587729232514056378,3,9.48,0.02,8.79,0.06,10.33,0.09
587729232514318407,3,9.18,0.05,9.43,0.05,10.48,0.1
